DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-46
0,0,0,0,0
1.5,109.902,82.4419,116.83,73.2569
1.75,109.6507,82.4274,116.83,73.8717
2.5,107.3564,78.0396,116.83,71.9386
2.75,108.054,74.9002,116.83,72.6813
4.25,113.5809,86.0666,111.62,70.7089
4.5,113.5136,89.9532,111.62,70.7322
5,112.487,89.7575,116.4,70.0374
5.25,111.7903,88.8892,110.32,69.4265
5.5,111.057,87.1611,110.32,69.6637
6.25,109.131,90.0694,116.4,70.089
7,109.9978,95.3146,114.23,58.1204
8,113.4162,86.6787,107.28,53.5594
8.25,113.4814,86.6349,114.23,57.8687
8.75,112.981,86.3645,107.28,54.0082
9,112.6089,85.5838,113.36,53.4084
9.75,111.4139,84.322,113.36,52.6126
11.5,100.2745,87.6118,113.36,56.8224
11.75,97.2869,82.7732,113.36,56.9326
12.5,94.974,74.4793,107.28,53.7569
12.75,94.5952,73.5506,107.28,52.7279
14.25,92.3531,74.3661,106.84,55.899
14.5,91.9733,74.3972,106.84,59.027
15,91.4347,79.4847,104.67,67.6192
15.25,91.2752,75.7111,106.84,68.2914
15.5,91.2799,73.9974,106.84,68.8179
16,91.5969,65.0685,105.97,64.4665
16.25,91.767,63.8332,104.67,66.0833
17.25,98.1909,72.672,105.97,63.4376
18,107.7594,79.2722,105.97,61.994
18.75,117.2303,76.4937,105.97,62.8635
19,120.5608,77.5636,111.62,57.6632
19.75,112.8184,81.9566,111.62,59.8344
21.5,104.2762,84.5199,109.01,57.1707
21.75,105.1214,84.1102,109.01,59.7616
22.5,106.4257,79.7902,112.05,61.1674
22.75,106.1499,78.6486,112.05,61.3976
24.25,103.395,76.1941,112.05,60.703
24.5,102.9502,76.525,112.05,61.2084
25,102.0047,72.2838,109.45,69.0811
25.25,101.5723,72.9096,114.66,63.9278
25.5,101.1586,74.4629,114.66,64.1184
26.25,99.919,80.3222,109.45,72.6091
27,97.0109,80.8199,112.92,77.8711
28,94.7277,85.42,112.92,75.4526
28.25,95.5886,86.3076,112.92,78.2991
28.75,97.2776,83.3305,112.92,75.6908
29,98.1015,82.5555,112.92,77.9027
29.75,101.1622,86.3882,112.92,77.7011
31.5,107.0296,91.9778,109.88,78.485
31.75,107.897,92.2723,109.88,76.4689
32.75,111.2393,90.8852,111.4,70.3866
33.5,113.7838,90.6683,114.66,71.2819
34.25,115.7265,90.0413,111.84,68.302
34.5,116.4345,90.9379,111.84,65.6759
35.25,118.9855,95.4905,108.15,58.7614
35.5,119.8178,94.1062,108.15,58.3517
36,121.4339,86.225,105.97,61.3871
36.25,122.1633,86.364,110.97,57.3582
37,119.4469,89.0114,107.28,63.5976
37.25,118.0872,89.8427,105.97,62.7367
38,114.1522,93.785,104.67,59.9158
38.25,113.2337,94.7316,107.28,62.6326
38.75,111.448,93.5702,104.67,60.155
40,107.5813,80.4319,107.28,58.5256
40.75,105.7718,76.4041,107.28,58.2679
41.5,105.1683,77.1928,108.15,57.9775
41.75,105.1292,78.8235,108.15,57.809
42.5,105.0084,81.5935,105.39,59.0819
42.75,104.9675,81.813,105.39,59.7083
43.5,104.8482,83.1037,115.53,62.6046
44.25,104.7262,81.3975,110.32,62.8445
44.5,104.6865,79.8606,110.32,62.7462
45.25,104.5667,80.6301,109.67,63.9387
45.5,104.5321,81.8583,109.67,67.2116
46,104.8751,80.8485,109.45,71.8701
46.25,105.3213,81.8946,112.2,70.6248
47,107.4776,84.0506,112.05,68.7092
47.25,108.1932,84.4218,109.45,71.7857
48,110.3199,86.209,109.99,66.1306
48.25,111.2517,87.563,112.05,66.9144
49,114.1787,88.1787,112.71,67.3911
49.75,118.1643,85.9436,112.71,67.8059
50,119.3255,87.2188,109.45,64.3105
50.75,121.3921,88.6132,109.45,65.8958
51.5,118.9924,88.5895,108.8,62.2673
51.75,118.1721,88.7036,108.8,62.2412
52.5,115.7394,89.7712,109.45,64.5278
52.75,115.1127,90.0435,109.45,64.9754
53.5,113.7205,91.8846,107.13,65.6358
55.25,111.2925,90.1075,113.03,61.832
55.5,110.9593,89.0897,113.03,61.9111
56,110.2639,88.4133,105.11,56.0335
56.25,109.9064,88.7709,113.57,61.0778
57,108.8689,91.3352,114.44,53.0065
58,107.3141,87.5729,113.36,58.8653
58.25,106.5945,86.5106,114.44,53.5141
59,103.7189,85.2639,112.18,60.5219
59.75,102.1458,85.8796,112.18,60.7694
60,101.7605,84.0376,109.26,58.7868
60.75,100.6708,79.1256,109.26,59.4605
61.5,99.5767,76.4108,111.91,56.3194
61.75,99.193,74.46,111.91,55.6434
62.5,98.0649,74.8108,117.99,62.9832
62.75,97.6408,74.8458,117.99,65.394
63.5,96.3756,77.1204,114.66,64.0999
63.75,95.9275,78.1631,114.66,63.072
64.25,95.1072,78.0504,113.79,61.4732
64.5,94.6772,77.529,113.79,61.0485
65.25,94.6542,77.0301,113.36,60.2334
65.5,94.8738,77.7109,113.36,60.1833
66,95.2773,79.4278,112.63,57.9487
66.25,95.4987,79.786,116.18,60.4767
67.25,96.4461,81.0341,112.63,56.6965
68,97.0804,77.821,111.62,52.0661
69,97.9136,78.0336,115.96,60.1046
69.75,98.5486,73.4117,115.96,58.3235
70,98.7576,70.9592,115.53,63.9236
70.75,99.3817,71.6116,115.53,63.2505
71.5,100.0166,78.8247,117.27,60.7268
71.75,100.8174,78.4115,117.27,59.6284
72.5,105.9092,77.2572,115.82,53.1502
72.75,105.6799,76.3932,115.82,51.2903
73.5,104.4872,76.2275,114.23,50.8399
73.75,104.0636,77.4415,114.23,50.9699
74.25,103.2884,76.9083,114.66,52.5382
74.5,102.8706,74.3744,114.66,54.995
75.25,101.6784,72.6055,117.37,57.5402
75.5,101.2545,73.6611,117.37,58.7944
76,100.4783,75.3029,112.49,54.6937
76.25,100.2638,75.4592,117.27,58.0222
76.5,100.1198,75.7056,117.27,55.9972
77,100.8489,76.0188,112.05,53.8878
77.25,101.3688,76.0096,112.49,53.8889
78,102.6747,81.3113,109.59,60.364
78.25,102.7736,82.4277,112.05,55.4078
79.25,102.1948,76.7602,109.59,60.8651
80,101.7674,74.1824,113.79,56.4424
80.75,101.3331,73.1922,113.79,57.644
81,101.19,73.4385,113.5,57.211
81.75,100.7622,75.1159,113.5,56.8419
82.5,95.7308,76.069,114.37,58.3641
82.75,92.9916,75.8904,114.37,57.9079
83.5,89.4198,76.7731,120.42,56.2025
83.75,90.0627,76.7924,120.42,55.6069
84.5,92.0605,77.823,125.3,53.8715
84.75,92.7705,79.2938,125.3,53.5364
85.25,94.0683,79.6874,123.06,53.0117
85.5,94.9316,80.141,123.06,52.7998
86.25,97.2013,77.6408,125.37,53.2772
86.5,97.8361,75.9549,125.37,53.9453
87,99.2131,73.2837,119.66,56.9077
87.25,99.0033,73.3902,125.81,55.2387
87.5,98.5494,73.8926,125.81,55.8598
88,96.1391,74.2418,121.18,53.5865
88.25,95.0434,74.7109,119.66,55.8733
89,91.5275,75.2571,113.36,50.0322
89.25,90.4309,74.3548,121.18,52.8043
90,88.0393,75.5062,116.99,50.5833
90.25,87.8018,75.2916,113.36,49.7265
90.75,87.5743,72.5658,116.99,50.0083
91,87.4683,72.6505,119.36,49.5412
91.75,87.1284,74.9033,119.36,49.669
92,87.0165,75.182,119.04,53.5809
92.75,86.6825,75.6556,119.04,52.0442
93.5,87.0658,74.4586,120.52,54.1327
93.75,87.7917,75.5444,120.52,54.4055
94.5,90.6887,75.0647,122.32,55.1222
94.75,91.4806,74.4836,122.32,54.2821
95.5,91.845,72.7125,129.1,49.5643
95.75,91.4516,71.6185,129.1,49.5107
96.25,90.5887,70.9164,137.68,50.9298
96.5,90.1894,70.4704,137.68,51.9701
97.25,88.9279,69.1903,131.71,53.0403
97.5,88.534,68.1793,131.71,53.6163
98,87.6735,67.8903,141.81,51.4376
98.25,87.2719,68.1028,141.81,54.0484
98.5,86.8747,69.7034,141.81,53.3096
99,86.0097,71.2197,141.15,52.0558
99.25,85.6161,72.4275,141.81,51.2567
100,88.9698,70.3471,140.18,57.874
100.25,94.2226,69.451,141.15,53.6451
101,103.3556,71.6377,140.72,55.9948
101.75,97.1294,73.8928,140.72,56.6304
102,95.2272,74.6766,132.9,53.0232
102.75,90.8664,73.1478,132.9,53.8817
103.75,91.3236,72.1938,129.86,51.9312
