DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-49
0,0,0,0,0
1.5,109.902,82.4419,116.83,72.25732755
1.75,109.6507,82.4274,116.83,73.826876
2.5,107.3564,78.0396,116.83,72.71947015
2.75,108.054,74.9002,116.83,73.14380756
4.25,113.5809,86.0666,111.62,69.41149281
4.5,113.5136,89.9532,111.62,70.19982925
5,112.487,89.7575,116.4,69.49193885
5.25,111.7903,88.8892,110.32,69.29575082
5.5,111.057,87.1611,110.32,69.54496059
6.25,109.131,90.0694,116.4,70.51292126
7,109.9978,95.3146,114.23,57.99946484
8,113.4162,86.6787,107.28,53.7964602
8.25,113.4814,86.6349,114.23,58.59748243
8.75,112.981,86.3645,107.28,55.51283549
9,112.6089,85.5838,113.36,53.95523814
9.75,111.4139,84.322,113.36,51.80715967
11.5,100.2745,87.6118,113.36,56.87342432
11.75,97.2869,82.7732,113.36,58.17016195
12.5,94.974,74.4793,107.28,54.88925166
12.75,94.5952,73.5506,107.28,52.38047979
14.25,92.3531,74.3661,106.84,56.88012482
14.5,91.9733,74.3972,106.84,60.37456879
15,91.4347,79.4847,104.67,67.79165122
15.25,91.2752,75.7111,106.84,67.02233709
15.5,91.2799,73.9974,106.84,68.72682463
16,91.5969,65.0685,105.97,63.36107321
16.25,91.767,63.8332,104.67,66.09342115
17.25,98.1909,72.672,105.97,63.73311669
18,107.7594,79.2722,105.97,60.3109907
18.75,117.2303,76.4937,105.97,62.01395729
19,120.5608,77.5636,111.62,58.1628204
19.75,112.8184,81.9566,111.62,60.72023931
21.5,104.2762,84.5199,109.01,55.64491112
21.75,105.1214,84.1102,109.01,59.61158383
22.5,106.4257,79.7902,112.05,61.17545373
22.75,106.1499,78.6486,112.05,60.55978045
24.25,103.395,76.1941,112.05,60.12030918
24.5,102.9502,76.525,112.05,61.25553005
25,102.0047,72.2838,109.45,69.36784478
25.25,101.5723,72.9096,114.66,62.57295945
25.5,101.1586,74.4629,114.66,64.06344384
26.25,99.919,80.3222,109.45,71.98832483
27,97.0109,80.8199,112.92,78.08535715
28,94.7277,85.42,112.92,75.94014957
28.25,95.5886,86.3076,112.92,78.55815034
28.75,97.2776,83.3305,112.92,75.27704152
29,98.1015,82.5555,112.92,77.74630892
29.75,101.1622,86.3882,112.92,75.48644028
31.5,107.0296,91.9778,109.88,80.106665
31.75,107.897,92.2723,109.88,76.64855497
32.75,111.2393,90.8852,111.4,70.13634923
33.5,113.7838,90.6683,114.66,70.28345191
34.25,115.7265,90.0413,111.84,68.82314008
34.5,116.4345,90.9379,111.84,66.59406868
35.25,118.9855,95.4905,108.15,58.22363144
35.5,119.8178,94.1062,108.15,58.74391586
36,121.4339,86.225,105.97,63.31756607
36.25,122.1633,86.364,110.97,57.75938469
37,119.4469,89.0114,107.28,64.28139685
37.25,118.0872,89.8427,105.97,63.57369788
38,114.1522,93.785,104.67,60.85524766
38.25,113.2337,94.7316,107.28,62.3922991
38.75,111.448,93.5702,104.67,60.10370282
40,107.5813,80.4319,107.28,59.28573036
40.75,105.7718,76.4041,107.28,57.79401015
41.5,105.1683,77.1928,108.15,58.35098603
41.75,105.1292,78.8235,108.15,56.61255769
42.5,105.0084,81.5935,105.39,59.05689089
42.75,104.9675,81.813,105.39,59.6878039
43.5,104.8482,83.1037,115.53,62.25781027
44.25,104.7262,81.3975,110.32,64.93726014
44.5,104.6865,79.8606,110.32,62.26383581
45.25,104.5667,80.6301,109.67,64.47971688
45.5,104.5321,81.8583,109.67,65.96318173
46,104.8751,80.8485,109.45,71.35144573
46.25,105.3213,81.8946,112.2,70.41075156
47,107.4776,84.0506,112.05,68.65641537
