DEPTH, NO 6507/7-A-22,NO 6507/7-A-28,NO 6507/7-A-29,NO 6507/7-A-40,NO 6507/7-A-52,NO 6507/7-A-9
0,0,0,0,0,0,0
1,116.2898,87.1303,100.37,109.1988,86.616,84.0374
2,105.5413,81.015,92.8,108.7617,73.013,73.1529
2.5,100.7072,78.0396,93.01,108.2817,77.547,74.9861
6.25,90.1168,90.0694,96.26,73.6978,81.874,79.4073
6.75,94.0735,94.9716,93.23,64.3787,71.786,76.0765
9.75,98.241,84.322,95.61,74.536,82.498,77.3456
10.25,94.4879,82.4549,90.42,71.9567,82.082,78.1905
13,84.4932,73.9709,96.91,70.0912,74.24,71.8132
13.5,88.2945,72.6288,92.15,69.5343,70.954,71.6437
17.75,85.3867,80.4498,102.53,79.9505,73.429,67.7016
18.25,81.8794,78.8365,97.77,74.1006,72.867,67.9393
20.75,85.374,87.4677,98.64,77.7256,61.053,75.2555
21.25,86.1508,85.5293,100.8,73.4602,65.192,71.4031
22,85.8479,85.6264,103.83,90.7077,61.885,67.7617
22.5,86.9008,79.7902,102.53,82.4789,62.717,67.2308
24,84.3292,77.2746,101.23,99.5653,52.816,81.8674
30.25,91.8611,90.7737,100.8,102.9907,62.717,75.3467
32.25,99.0493,92.2399,96.04,84.5134,76.174,62.1863
32.75,88.4293,90.8852,96.04,85.1198,74.802,61.5766
33,90.796,90.8777,95.61,78.9385,76.715,64.447
33.25,94.9701,90.5881,96.04,83.8438,72.181,62.0929
34,99.1341,90.8787,94.31,86.4409,79.19,63.3515
37,81.6848,89.0114,93.01,96.1297,75.613,62.6739
45.5,81.1959,81.8583,95.18,92.1221,85.784,63.5669
49.5,77.8349,85.2025,96.47,66.034,92.378,67.276
50.75,81.311,88.6132,97.34,88.9935,88.259,58.5751
52.75,72.3989,90.0435,90.85,72.6415,92.378,71.9432
53.25,72.2384,91.0202,97.77,83.0696,92.378,71.9727
56,91.3577,88.4133,96.04,71.5442,88.675,63.7614
59,79.9874,85.2639,96.47,68.9256,77.547,72.7638
60,79.1676,84.0376,90.85,72.3286,64.36,70.7499
60.5,81.121,80.21,90.85,76.8359,80.418,72.1054
61.75,83.6019,74.46,98.64,69.5693,78.358,73.0471
62.75,84.7881,74.8458,90.42,70.9482,72.597,88.5342
69.5,74.3417,75.8991,95.18,69.1344,55.291,68.8816
74.25,74.5945,76.9083,93.45,84.9719,39.629,99.9565
76.25,76.1805,75.4592,95.61,78.466,55.291,69.0514
77,84.3173,76.0188,94.96,83.6581,57.766,86.2703
77.25,77.6229,76.0096,98.06,80.127,52.816,80.9221
78.5,94.1384,81.4187,94.02,74.67,63.944,84.0368
80,97.4462,74.1824,101.23,78.2172,62.821,91.5765
80.5,93.1126,72.8997,98.93,67.9091,61.885,85.1525
84.75,81.3397,79.2938,97.34,83.1959,70.392,66.1604
85.25,84.4701,79.6874,96.91,76.2164,75.488,63.1467
85.75,94.8172,80.3374,95.61,71.8331,76.986,65.4107
87.75,90.0906,73.1672,102.96,83.0602,71.786,71.6162
88,92.003,74.2418,103.4,77.5715,65.483,68.5824
89,86.5693,75.2571,97.34,81.012,60.242,87.2115
89.5,88.3239,76.8241,105.13,93.4518,78.774,75.2201
92,87.5327,75.182,105.13,78.4044,66.835,70.5367
92.5,91.0119,75.42,105.13,72.7125,66.419,66.3408
94.75,109.5497,74.4836,101.23,77.2672,76.299,75.5731
96.75,59.3872,70.6871,98.9,83.5351,73.699,88.2218
97.25,36.7713,69.1903,99.94,85.2072,75.072,92.0199
99.25,87.8179,72.4275,95.9,78.0384,77.818,92.6495
99.75,100.8078,71.9334,95.61,78.2895,82.498,97.5142
100,103.7555,70.3471,93.88,77.4325,71.224,81.8231
101,101.9653,71.6377,104.26,76.7281,77.339,89.6534
103,90.0388,71.5851,109.97,81.5715,70.538,72.2282
104,105.5737,72.6736,106.86,85.5175,71.786,78.0345
104.5,96.7191,69.4146,104.45,84.2808,67.646,74.3717
105.75,82.3893,67.8763,102.53,78.9243,81.25,84.0463
106.25,98.5939,68.3049,102.1,85.5993,61.344,85.5384
108.25,84.7451,70.9421,105.56,93.832,70.954,79.8424
108.75,86.8225,71.5021,108.16,108.6642,70.954,80.2978
109.25,83.3913,69.1454,105.13,112.8418,81.666,80.3414
112,92.6251,74.4457,101.02,98.4957,93.21,71.3661
112.5,107.2659,76.7272,104.26,94.105,82.498,78.434
113.5,94.0696,76.6784,104.84,92.33,81.666,70.8039
115,71.9711,80.0775,99.5,78.3817,93.605,78.9107
115.5,79.8683,77.6473,101.88,78.3581,87.926,81.0591
116.5,68.1701,74.5152,106.64,82.6745,86.054,75.0444
117.25,73.4311,77.0112,102.82,89.8932,95.664,83.1743
117.75,96.7771,77.5498,105.13,101.2646,91.546,90.0588
120.75,79.6427,78.7926,109.89,98.1855,88.259,72.3356
124.5,79.4305,78.5834,102.1,118.8454,67.646,64.773
127,92.8228,76.3548,104.51,150.789,65.587,75.648
127.5,85.6238,77.9736,102.63,143.4198,68.478,77.3257
128.75,104.2158,81.5639,103.4,146.9881,71.162,75.648
131.25,97.1432,85.0885,100.15,92.1839,57.142,78.6569
131.75,87.3695,84.3541,99.61,95.411,57.766,75.7969
135.5,103.7127,88.4913,104.91,99.5653,66.003,86.7815
136.5,100.6979,51.4501,106.43,94.5386,78.774,90.854
138.5,104.6795,87.5573,104.69,91.8252,73.429,77.602
139.5,109.7109,94.4167,104.91,97.3492,73.845,77.8451
139.75,111.7678,96.982,109.45,103.6959,73.845,77.9006
140.25,104.2356,92.51,101.67,107.3562,71.786,79.0554
143.25,91.3961,83.4384,107.51,90.1049,84.141,91.168
143.75,90.6081,81.3587,105.13,90.9984,85.16,89.9415
145.75,94.8051,74.1935,101.23,87.5807,80.022,90.8824
146,88.0041,78.5909,108.8,83.7552,80.022,96.8121
147,95.6291,83.531,103.61,103.744,95.664,92.9065
149,89.5084,77.4554,111.04,99.0416,86.45,92.7454
154.75,90.7584,95.6358,106.86,95.389,81.666,85.6831
155.25,84.6243,97.5383,106.86,93.1648,88.259,91.8448
157.25,84.6077,107.5113,112.91,94.7536,79.19,92.0576
157.75,86.2135,106.0944,106.86,88.7751,75.072,96.9193
158.25,98.6243,99.613,109.02,94.4744,81.395,92.6137
161.5,92.3758,79.828,112.91,108.2173,85.514,85.8563
162.5,90.1274,76.9086,112.91,87.8173,83.808,91.6818
164,89.1274,77.0111,108.37,101.9317,89.902,78.2151
164.5,87.3272,77.0291,106.43,88.0117,76.986,84.9167
165.5,83.6022,83.8269,112.91,96.5024,71.786,74.2869
167.25,94.4471,83.7863,111.04,97.6665,80.022,90.0104
169.25,103.5487,78.6395,105.42,84.8328,97.328,86.2261
169.75,107.1641,76.2087,102.96,98.8253,93.21,75.8159
170.25,99.7729,80.142,107.43,109.4704,79.731,74.3292
172.25,101.2422,87.7816,112.48,93.6422,77.547,68.161
172.75,99.4509,94.9196,109.17,98.6258,87.011,68.6146
173,94.9354,96.2015,109.89,99.9997,82.498,78.0246
173.5,114.4698,94.7517,114,102.6304,85.784,80.1984
174.5,100.8853,91.6715,105.13,96.3141,98.971,78.4962
176,112.5435,89.3565,108.7,99.8289,92.731,68.5563
