DEPTH,BONA0014,BONA0019,BONA0042,BONA0047,BONA0049,BONA0053,BONA0054
0,0,0,0,0,0,0,0
0.25,57.5311,71.2005,49.1442,81.1292,66.4186,88.8715,66.3135
0.5,56.7961,68.9657,49.4639,79.2711,67.0593,88.8377,68.0381
0.75,56.4692,65.5069,49.5887,78.0625,68.2448,88.5279,70.1076
1,60.0508,50.1449,53.555,77.322,69.6862,88.1537,72.1999
1.25,57.198,58.1698,50.3672,77.6297,72.0437,87.6424,73.8625
1.5,58.278,54.4085,51.1793,78.1939,74.6596,87.261,74.7801
1.75,59.2358,52.1947,52.4317,79.332,75.2562,87.1274,74.9746
2,60.7323,42.4844,53.5463,80.3409,75.5764,87.2412,74.7217
2.25,60.5661,48.3529,54.4917,81.0613,73.975,87.7788,74.3428
2.5,60.7311,46.5878,54.7749,81.4999,72.3486,88.5691,73.9664
2.75,60.7923,44.5502,54.6404,81.3108,70.9072,89.7491,73.4628
3,59.644,36.8147,47.9007,80.7662,69.3706,90.6892,72.5937
3.25,60.5778,40.8942,52.2259,79.4305,67.3954,91.2952,71.1741
3.5,60.3128,39.3522,50.67,78.3908,66.3183,91.154,69.1808
3.75,60.004,38.0704,49.1743,78.0083,67.5743,90.0717,66.8065
4,60.478,42.5184,43.769,78.0006,67.9127,88.8026,64.3659
4.5,59.8007,38.6469,45.8301,79.7952,65.7675,86.4555,60.1122
4.75,60.103,40.5401,44.8219,81.0926,65.0202,86.2287,58.3411
5,61.0869,49.5797,40.1217,82.5173,63.2641,86.4353,56.7333
5.25,60.7469,44.2267,42.4687,84.2233,60.7676,87.0479,55.2638
5.5,60.8919,45.9092,41.1263,85.5396,60.537,87.472,53.8956
5.75,61.0069,47.7376,40.5226,85.9953,61.3911,87.7362,52.6312
6,59.0509,48.7448,42.1751,86.2987,62.9226,87.8393,51.5328
6.25,60.9201,49.6417,40.4447,86.2662,64.6498,87.8185,50.6122
6.5,60.4651,49.5386,40.9577,86.1584,65.6429,87.8037,49.7788
6.75,59.8509,49.1545,41.7332,85.8847,66.5316,87.7931,48.9516
6.9,58.6899,48.2026,43.1231,85.85565,67.05715,87.815,48.57755
7,57.5289,47.2507,44.513,85.8266,67.5827,87.8369,48.2035
7.25,58.4678,48.2799,42.4136,86.2421,68.4392,87.9149,47.6844
7.5,58.1378,47.8101,42.7545,86.8689,66.8314,87.9025,47.4502
7.75,57.8239,47.5224,43.141,87.9595,65.6262,87.8393,47.43
8,56.7538,45.7587,50.4792,88.8706,66.3296,87.9323,47.5103
8.25,57.1301,46.8801,45.9758,89.389,66.5125,88.1044,47.577
8.5,56.6101,46.5008,47.7524,89.4333,65.3149,88.2117,47.502
8.75,56.4638,46.1295,49.2823,88.4411,64.8647,88.2897,47.2569
9,58.7519,43.8186,50.5618,87.653,65.6685,87.9162,46.9745
9.25,57.1984,45.34,51.004,87.3104,67.019,87.3614,46.8608
9.5,57.8234,44.9172,51.1286,87.2663,68.9784,86.8865,47.0626
9.75,58.3469,44.3729,50.8854,87.8728,70.4442,86.44,47.6143
10,59.3338,43.7212,49.2624,88.1945,71.5413,87.0622,48.5198
10.25,59,43.3975,50.1049,87.8962,71.7828,88.0169,49.7562
10.5,59.065,42.9873,49.6767,87.2545,71.6069,89.2116,51.1934
10.75,59.1738,43.3245,49.3448,85.8662,70.5587,90.4711,52.6094
11,60.2854,42.181,54.1846,84.3233,69.2525,90.4182,53.8341
11.25,59.5354,43.7236,49.5092,82.4448,71.9299,90.0613,54.814
11.32,59.6604,43.7093,49.9995,81.6906,73.5628,89.4058,55.22645
11.5,59.7854,43.695,50.4898,80.9364,75.1957,88.7503,55.6389
11.75,60.0354,42.965,51.8974,80.2296,78.8764,87.2529,56.5584
12,61.5488,37.8074,63.4002,79.8447,82.5536,85.9957,57.8093
12.25,60.6485,41.1044,56.6604,80.156,86.0203,84.7772,59.4366
12.75,61.4538,38.9066,61.9877,81.2829,88.4274,83.5192,62.8728
13,59.2288,36.3312,58.2259,82.4043,87.8087,82.9941,64.0407
13.25,61.2838,36.9848,63.7013,84.4467,86.6026,82.4757,64.5971
13.5,60.5988,36.1823,62.5684,86.6914,84.97,81.2392,64.5315
13.75,59.9138,36.2266,60.6268,89.3717,82.6085,79.9529,63.9619
14,58.2892,38.341,49.2897,91.5137,80.9878,77.657,63.1961
14.25,58.7215,36.4521,55.4995,92.4985,80.2063,75.3187,62.6114
14.5,58.4215,36.5742,52.7526,92.9478,79.9261,73.6257,62.4198
14.75,58.2692,37.4324,51.016,92.2478,80.0266,71.9583,62.549
15,60.2439,37.2229,42.6233,91.2881,80.3956,71.9897,62.7286
15.25,58.5193,38.2517,47.5959,89.7719,80.8979,72.0301,62.6808
15.5,58.9943,38.0956,45.8797,88.3151,81.3447,72.3324,62.3728
15.75,59.5639,37.6681,44.1353,86.9858,81.7745,72.5941,62.1113
16,59.7318,35.3577,38.7331,85.9643,81.3983,72.2013,62.3725
16.25,60.6654,36.6902,41.2402,85.6007,80.8986,71.7474,63.4111
16.5,60.7854,36.1518,40.1069,85.3101,78.6961,70.617,64.975
16.75,60.4968,35.7505,39.0544,85.1753,76.4783,69.3531,66.4274
17,58.4251,34.839,38.8115,85.2073,74.8705,66.9804,67.1575
17.25,58.9598,35.5801,38.5132,85.5948,73.2872,64.4981,67.0009
17.5,58.1798,35.8403,38.6033,85.9474,71.8274,61.2957,66.251
17.75,57.9701,35.3618,38.702,86.226,71.022,58.2672,65.3935
18,61.1408,29.9329,39.5747,86.4296,72.0268,56.1749,64.855
18.25,59.2034,33.337,38.8745,86.4742,73.0256,54.5251,64.777
18.5,60.3584,31.7775,38.9123,86.6323,74.0137,54.8734,64.9683
18.75,61.0308,30.8375,39.2081,87.0311,74.6827,55.6737,65.1555
19,61.1317,29.8826,42.6884,87.3984,74.9842,58.217,65.2402
19.25,60.9783,29.64,40.4119,87.699,74.662,61.0796,65.2648
19.5,60.4983,29.3814,41.24,88.0497,73.858,65.0074,65.2874
19.75,60.5217,29.6185,42.041,88.5061,73.3988,68.9185,65.2834
20,64.7475,34.799,42.7592,89.2275,73.1142,72.7806,65.1902
20.25,62.0419,30.914,43.1503,90.5076,74.8113,76.298,65.0954
20.5,63.302,31.9861,43.2663,92.3719,77.1225,78.9284,65.1806
20.75,64.2225,33.3841,43.1996,95.4663,78.4797,81.1599,65.4821
21,62.3746,41.4404,41.2904,98.9275,79.6856,82.4802,65.9593
21.25,64.7459,36.07,42.2637,103.1599,81.1817,83.7281,66.5693
21.5,64.1309,37.3338,41.9058,107.1484,82.4203,84.8287,67.3446
21.75,63.3496,39.3681,41.5684,110.6246,79.6066,85.8428,68.4372
22,57.5976,50.6035,41.2022,113.8382,77.0775,86.6988,70.0661
22.25,61.3372,43.8646,41.1107,116.501,76.0223,87.1477,72.2355
22.5,60.2271,46.3056,41.0467,118.921,75.2707,86.9275,74.6947
22.75,58.9877,48.4611,41.0954,120.8327,75.3768,86.3907,77.0471
23,51.0926,51.5063,42.8428,122.298,75.9456,85.3848,78.9814
23.25,56.0805,51.5739,41.496,122.8301,77.3337,84.625,80.4389
23.5,54.4154,52.4915,41.8311,122.8988,78.1057,84.1947,81.5266
23.75,52.7526,52.0291,42.3326,122.0004,78.156,83.9315,82.3432
24,49.5319,52.3168,44.7256,120.566,76.9454,83.8708,82.8322
24.25,49.77,51.2417,43.3775,118.0151,74.7448,83.81,82.7673
24.5,48.84,50.988,43.8233,115.3807,72.9041,83.7493,82.0068
24.75,48.7169,51.6339,44.1662,112.5724,71.2491,84.116,80.7311
25,53.9649,54.8582,49.1114,109.8733,71.4612,84.9078,79.4439
25.25,50.6892,53.2168,45.3938,107.4007,72.2652,86.1285,78.7805
25.5,52.2443,54.1253,46.4103,105.0479,71.324,87.7358,79.2471
25.75,53.3599,54.502,47.5159,102.9436,70.0961,89.0501,80.7971
26,52.8717,54.09,53.8779,100.9864,71.6012,90.1254,83.0222
26.25,54.1142,54.6935,50.665,99.3339,73.1353,90.7897,85.3424
26.5,53.7342,54.5094,52.1047,97.6451,73.22,91.1506,87.3276
26.75,53.3218,54.3001,53.1908,95.8812,73.3478,91.7059,88.9354
27,52.4456,52.4248,56.2336,94.2127,73.7059,92.3909,90.4169
27.25,52.6161,53.2749,54.6143,92.7412,74.0073,93.5592,91.9441
27.5,52.5861,52.4389,55.3747,91.4312,74.1455,95.0182,93.5593
27.75,52.5307,52.4183,55.8511,90.4537,73.6249,96.537,95.2369
28,53.7342,51.7787,54.2639,89.8805,71.9167,98.0881,96.969
28.25,52.4718,52.4366,55.9551,90.1381,70.9465,98.6612,98.7575
28.5,52.6268,52.4486,55.577,90.7066,70.8554,98.7609,100.4895
28.61,52.8305,52.28375,55.25625,91.3098,70.41965,98.18475,101.2257
28.75,53.0342,52.1189,54.9355,91.913,69.9839,97.6086,101.9619
29,58.6633,51.094,51.2302,93.0771,68.4891,95.9158,102.9239
29.25,54.8256,51.4409,53.559,94.1546,68.2891,94.2559,103.1222
29.5,56.3707,51.1032,52.7782,95.0042,68.7695,92.6086,102.4524
29.75,57.6633,51.094,51.961,95.3878,70.2081,91.8338,101.1443
29.8,57.43505,51.5118,51.6181,95.44925,71.0827,91.5936,100.31895
30,57.2068,51.9296,51.2752,95.5107,71.9573,91.3534,99.4936
30.25,58.9637,51.2392,50.5666,95.1018,73.8541,91.2542,97.7423
30.5,58.4537,51.3883,50.5488,94.634,75.7759,91.2673,96.0407
30.75,57.8718,51.6574,50.6976,94.0462,77.4341,91.1256,94.4047
31,54.5169,49.5134,55.0943,93.4499,78.9282,90.9443,92.772
31.25,56.5603,51.8197,52.2592,92.8363,77.7663,90.655,91.193
31.5,55.9353,51.7007,53.6817,92.3378,76.4877,90.3421,89.7643
31.75,55.2569,50.6181,54.5234,92.0724,74.5658,90.0597,88.5753
32,52.9433,44.816,50.2328,91.4382,72.4978,89.7828,87.7247
32.25,53.9253,47.9797,54.4265,90.0582,69.9981,89.5191,87.1734
32.34,53.71525,47.20825,53.97685,89.24345,68.84465,89.38825,86.94685
32.5,53.5052,46.4368,53.5272,88.4287,67.6912,89.2574,86.7203
32.75,53.1733,45.619,51.8923,86.2958,65.7378,88.4558,86.277
33,52.6324,46.2629,46.5835,84.5872,64.523,87.5911,85.9594
33.25,52.8223,44.9723,48.5118,83.7337,64.2026,86.1401,85.9887
33.75,52.7674,45.7015,46.9297,82.5772,64.8874,83.7917,87.3913
34,47.4788,50.4081,43.5007,82.2686,65.8939,82.9838,88.2178
34.25,51.9382,47.1801,46.2933,82.2239,67.1532,83.3643,88.5807
34.5,50.5982,48.1031,45.4597,81.9574,70.2735,83.7825,88.3808
34.75,49.1189,49.2538,44.5452,81.247,74.0106,84.2434,87.8815
35,47.8477,49.3649,40.7126,80.671,76.6578,84.694,87.5009
35.25,46.5582,50.4146,42.552,80.3639,79.1136,84.5867,87.5948
35.5,46.4682,50.4051,41.8371,80.2988,82.3613,84.4603,88.2784
35.75,46.8727,49.8883,41.2229,80.7163,85.4809,83.9121,89.3288
36,49.2439,46.2237,40.3672,81.1174,84.2924,83.3564,90.4597
36.25,48.5627,48.5434,40.455,81.4856,83.3238,82.6983,91.5748
36.38,48.7702,48.1309,40.3822,81.7638,83.60465,82.4076,92.13765
36.75,49.2139,46.9706,40.3328,82.9716,84.0105,82.2885,93.801
37,46.7644,45.9058,41.6258,84.055,82.525,82.5897,94.7012
37.25,49.0835,45.8754,40.3172,85.4429,81.3972,83.8685,95.1341
37.5,48.7035,45.5307,40.4717,87.2842,81.1001,85.094,94.9654
37.75,47.9495,45.7162,41.1115,90.0211,80.2671,85.9971,94.3055
38,43.7375,45.6023,38.6354,92.5681,78.5912,86.6165,93.3394
38.25,45.5979,46.078,42.0132,94.7408,77.183,85.8142,92.2971
38.5,44.4529,46.2501,41.3649,96.5673,76.0689,84.8806,91.3686
38.75,43.8075,45.9275,40.2698,97.7131,74.7153,83.3913,90.5043
39,44.4269,44.763,34.4663,99.0561,73.1766,82.0522,89.5286
39.25,43.9115,44.9089,36.9703,100.7861,72.6409,81.2599,88.4062
39.5,44.3665,44.2139,35.5655,102.5833,72.641,80.6491,87.3157
39.65,44.4592,44.3504,35.0615,103.5475,73.06795,80.63065,86.9316
40,43.5812,43.997,35.7396,106.229,74.6495,80.6267,86.3176
40.25,44.1414,44.74,34.798,107.5341,74.893,80.7841,86.6567
40.75,43.4712,44.3569,35.7569,107.6663,75.4361,80.9691,88.5696
41,44.7138,45.0288,36.6592,106.3137,75.9652,80.8131,89.7878
41.25,43.8284,44.2849,35.5171,103.3915,75.9777,80.1924,91.0336
41.5,44.2334,44.5725,35.3504,100.4917,76.0514,79.447,92.2487
41.75,44.5337,44.8006,35.8329,97.6353,76.7411,78.4578,93.3377
42,45.5251,45.2376,44.3999,94.8134,77.5346,77.6608,94.2343
42.25,44.9031,45.28,38.2596,92.058,78.8078,77.2006,94.9289
42.34,45.0031,45.40465,39.2658,90.59035,79.02145,77.13,95.20295
42.5,45.1031,45.5293,40.272,89.1227,79.2351,77.0594,95.477
42.75,45.3101,45.3832,42.6824,85.8396,77.3253,77.4214,96.0048
43,45.8724,45.0855,45.95,82.8662,75.8467,78.0296,96.5997
43.25,45.5934,45.1756,45.8342,80.4895,75.157,78.9884,97.2071
43.5,45.4934,45.1139,46.1534,78.6206,74.0225,79.9877,97.537
43.75,45.5773,45.1044,46.3007,77.7278,72.3249,81.0392,97.0972
44,47.9184,40.7151,44.7131,77.493,72.3107,81.9277,95.5379
44.25,46.3536,43.9273,45.6302,78.5203,73.7962,82.6263,92.9631
44.5,47.0487,42.7703,45.3783,79.7935,74.0342,83.1997,89.8768
44.75,47.5784,41.7396,45.0716,81.537,73.4966,83.6412,86.9937
45,50.584,40.3164,41.6696,83.0919,72.254,83.7558,84.9475
45.25,48.3422,40.2604,44.0607,84.287,70.7153,83.5579,83.9725
45.5,48.8623,39.814,43.2913,85.3283,70.7611,82.641,83.8122
45.75,49.5989,40.0662,42.4771,86.0768,71.223,81.1011,83.9171
46,55.804,40.521,40.1612,86.8753,71.145,79.139,83.7856
46.25,51.7904,40.4199,40.9424,87.7687,70.993,76.8458,83.2845
46.5,53.2504,40.522,40.3816,88.526,70.3722,75.2002,82.5909
46.75,54.594,40.525,40.1765,89.0251,69.6428,74.0141,81.9167
47,55.4637,39.7096,41.8027,89.2794,67.324,73.8306,81.4104
47.25,56.5619,40.0722,40.3213,89.0709,65.2454,74.2892,81.1016
47.5,56.8019,39.6316,40.7984,88.9218,64.6086,75.3361,80.8384
47.75,56.4637,39.6681,41.3982,88.885,64.2042,76.7221,80.4655
48,49.7562,40.968,41.0828,89.017,64.5757,78.1846,80.0554
48.25,54.1186,40.0193,42.0951,89.467,64.2797,79.6866,79.8815
48.5,52.3785,40.329,41.7053,90.1472,62.5539,81.2464,80.2146
48.75,50.9113,40.6427,41.3547,91.2598,61.5934,82.8329,80.9918
49,49.6026,46.4317,42.0429,92.0607,61.7526,84.2596,81.8927
49.25,48.9931,41.8475,41.118,92.2775,62.2785,85.6203,82.6128
49.5,48.678,42.7478,41.4139,92.0363,63.1802,86.7385,83.0093
49.75,48.8576,44.5845,41.7257,90.9385,64.4994,87.7682,83.0505
50,49.392,55.7812,39.3928,89.8662,66.1191,88.5003,82.8318
50.25,49.853,48.7326,41.7857,88.8413,66.5132,89.1372,82.5084
50.5,49.538,51.0353,41.3948,88.1263,66.301,89.0662,82.1544
50.75,49.377,53.4082,40.4624,87.9881,64.5231,88.7979,81.7883
51,49.0106,62.1828,36.5021,88.3746,62.2419,87.6843,81.4872
51.25,49.393,58.1536,38.0959,89.7356,61.4389,86.3681,81.3902
51.5,49.378,60.4861,37.1825,91.0101,60.9083,84.6076,81.6258
51.75,49.2556,61.3567,36.541,92.1241,62.6526,82.7568,82.2325
52,48.4349,59.8269,38.5106,92.7703,64.5615,80.8549,83.1343
52.25,48.6185,61.4579,36.6207,92.5511,66.4184,78.9443,84.2808
52.5,48.0585,60.741,37.1891,91.9185,67.9272,77.5045,85.7754
52.75,47.9749,60.2922,37.7898,90.5228,66.5479,76.1286,87.7561
53,51.3843,56.0227,38.4211,88.8836,64.8267,75.7565,90.236
53.5,50.2279,57.842,38.9431,84.9326,59.2721,75.9393,96.0576
53.75,50.9792,56.9209,38.7438,83.4804,58.6355,76.443,98.6777
54,51.5765,56.2298,37.7505,82.3637,60.0245,76.7298,100.495
54.25,51.6888,55.8006,38.2519,81.8618,64.8523,77.0062,101.1667
54.5,51.8788,55.5966,38.1118,81.7819,69.3568,76.5432,100.7833
54.75,51.8515,55.9093,37.9593,82.4737,73.4792,76.0619,99.757
55,51.6514,56.9798,35.3549,83.706,77.6392,74.9366,98.5655
55.25,51.2056,56.7657,37.3781,85.9246,81.8304,73.8077,97.5592
55.5,50.7256,57.2761,36.8083,88.4879,85.1474,72.5563,96.9228
